messages,label,sentiment_label
"در حالی که بایرن مونیخ با حساب ۶-۰ از هوفنهایم جلو بود، هواداران این تیم با حرامزاده خواندن دیتمار هوپ، مالک باشگاه هوفنهایم، شرایط را به جایی رساندند که بازی متوقف شود!
سرمربی، بازیکنان و مدیران باشگاه بایرن مونیخ از شعارهای هوادارانشان به شدت عصبانی هستند",2020,Neutral
روزنامه الوطن قطر مدعی شد؛ لیگ قهرمانان آسیا در آستانه لغو کامل,2020,Neutral
"‏اگه از خواب پا میشی و تَه گلوت یجوری نیس , از ما نیستی!",2020,Neutral
"کرونا؛ کاشان در مرحله هشدار قرار گرفت
با توجه به افزایش موارد بروز بیماری کووید ۱۹، وضعیت این منطقه در مرحله هشدار قرار گرفته است",2020,Neutral
دکتر جان بابایی، معاون درمان وزارت بهداشت در نامه‌ای از دانشگاه‌های علوم پزشکی خواست، تا اطلاع بعدی به غیر از بیماران اورژانسی، فقط بیماران مبتلا به ویروس کرونا را پذیرش کنند,2020,Neutral
‏قیمتای بلیط همواپیما رو دیدم انقد ارزون شده تصمیم گرفتم بلیط  بگیرم کل آسمون ایران و یه دور بزنم برگردم خونه :),2020,Positive
‏دلم ميخواد خوراكيم بيفته زمين ورش دارم فوتش كنم تميز شه بخورمش، ينى كى كرونا ميره دوباره اين حساى خوبو تجربه كنم.,2020,Neutral
‏اگر می خواهید خدای ناکرده مبتلا به کرونا نشوید، این ۷۰ ثانیه صحبتهای فوق العاده مفید درباره نحوه مقابله با کرونا را گوش کنید و به اشتراک بگذارید! یک راهکار ساده که همه از آن غافلیم! بزاق دهان را تحریک کنید!,2020,Neutral
فراخوان سازمان نظام پزشکی برای جذب نیرو در مراکز درمانی مبتلایانِ کرونا,2020,Neutral
مقررات جدید در پمپ بنزین‌ها برای مقابله با کرونا,2020,Neutral
"🔴همه پروازهای فرودگاه گیلان لغو شد
همه پرواز های امروز ( یکشنبه ) فرودگاه بین المللی سردار جنگل رشت لغو شده است.",2020,Neutral
"‏وارد داروخونه‌ها می‌شی همه یه کاغذ زدن ""ماسک، دستکش، الکل، اسپری ضدعفونی و کلا هر چیزی که برای نمردن ضروریه، نداریم، لطفا سوال نکنید""",2020,Neutral
اعلام زمان مجدد ثبت نام کنکور سراسری,2020,Neutral
‏این ویروس ‎کرونا خودش کم مصیبتی بود آلودگی دوباره هوای تهران هم بهش اضافه شد😷,2020,Neutral
"رییس انستیتو پاستور ایران:
*عصر ایران*",2020,Neutral
‏آنقدر الکل بر روی کتاب‌ها ریخت که کلمات به رقص درآمدند,2020,Neutral
فشار قرنطینه اکساتونو برمی‌گردونه.,2020,Neutral
,2020,Not Available
به سادگی میشه مبتلا نشد,2020,Neutral
قرنطینه تهش باعث میشه واتسپ هم استوری بذاریم. ببینید کی گفتم.,2020,Neutral
"معاون درمان وزیر بهداشت: 
🔹از وزارت ورزش خواسته بودیم تمام بازی‌های لیگ را لغو کند
🔹در بدبینانه‌ترین حالت تا خرداد درگیر کرونا هستیم",2020,Neutral
,2020,Not Available
,2020,Not Available
دکتر زالی فرمانده ستاد مقابله با بیماری کرونا در استان تهران: ,2020,Neutral
استاندار خوزستان با قرائت اطلاعیه‌ای مهم در حضور رسانه‌ها، خواستار درخانه ماندن مردم طی دوهفته‌ جاری که آن را دو هفته‌ حیاتی نامید، شد.,2020,Neutral
"‏روز ششم قرنطینه:
چرا تسلا روی اون ماشینه که سال 2008 فرستاد فضا، نوشت
Tesla made on earth by humans???
چرا فک کرد آدم فضایی‌ها انگلیسی بلدن و براشون مهمه؟ :))",2020,Neutral
"تعداد مبتلایان به ویروس کرونا در ایران به ۹۸۷ نفر افزایش یافت
× باشگاه خبرنگاران جوان ×",2020,Neutral
"عملیات سرکوب کرونا توسط یگان ویژه در تهران
ضد عفونی کردن خیابان های شهر تهران توسط خودروهای یگان ویژه
",2020,Neutral
"آمار جدید مبتلایان به ویروس کرونا به تفکیک استانی:
در استان های بوشهر و زنجان تاکنون مورد مثبتی از ویروس کرونا مشاهده نشده است.",2020,Neutral
ارمنستان ۳۲ ایرانی را قرنطینه کرد,2020,Neutral
‏به بابام گفتم کوید-۱۹ گرفتم، گفت بیشتر تلاش کن ۲۰ بگیری.,2020,Neutral
رییس دانشگاه علوم پزشکی گلستان دقایقی پیش در نشست خبری با خبرنگاران :,2020,Neutral
"خودتان بنزین نزنید، پول زور هم ندهید
بدلیل شیوع کرونا روند سوختگیری باید توسط اپراتورها انجام شود 
",2020,Neutral
"مردم محله مون خودجوش اومدن عابربانک های محل رو ضد عفونی میکنن
به این میگن همدلی و همیاری👌⁦♥️⁩
",2020,Positive
‏روز ۲۴ام قرنطینه تشویق هادی نوروزی یادمون نره,2020,Neutral
تا حالا ما اشتباه سُرُم میزدیم،سُرُم باید تینجوری سَر بِکِشی،پرستاره پشماش ریخت😂😂,2020,Positive
بیماران بهبودیافته از کرونا تا دو هفته همچنان ناقل هستند,2020,Neutral
"تمهیدات بانک مرکزی برای کاهش مراجعات حضوری مردم/ سقف انتقال پول افزایش یافت
با توجه به شرایط خاص بهداشتی کشور برای کاهش مراجعات حضوری مردم به شعب و دستگاه‌های خودپرداز به صورت موقت سقف مجاز انتقال وجه کارت به کارت (شتابی و درون بانکی) از طریق درگاه‌های اینترنتی و خودپردازها از مبلغ سی میلیون ریال در هر شبانه‌ روز از مبدا هر کارت به پنجاه میلیون ریال افزایش می‌یابد.
امکان تمدید تاریخ انقضاء کارت‌های بانکی بدون نیاز به مراجعه حضوری مشتری به مدت سه ماه از تاریخ انقضاء بلامانع است.
افزایش سقف برداشت نقدی درون بانکی از دو میلیون ریال به پنج میلیون ریال بلامانع است.",2020,Neutral
علایم کرونا:,2020,Neutral
اولین قربانی کرونا در کرمانشاه,2020,Neutral
رفتم داروخونه نه ماسک بود نه محلول ضد عفونی، تنها فکری که به ذهنم میرسه اینه برم دور‌ خودم رو سیم‌خاردار بکشم ویروسا نیان,2020,Neutral
اگه همینطور روند ضد عفونی کردن ما تو خونه توسط مامانم ادامه پیدا کنه، به جای اون ۷۰ درصد آبی که تو بدنم هست میشم یه آدم ۷۰ درصد الکل درجه یک با گیرایی بالا.,2020,Neutral
تازه‌ترین آمار رسمی مبتلایان و تلفات ویروس کرونا در جهان,2020,Neutral
"توصیه میکنم ببینید.
تلفظ اسامی ایرانی به انگلیسی
سر شقایق تسمه تایم پاره کرد😂😂",2020,Positive
بسته شدن سفارت اتریش در تهران برای مراجعین,2020,Neutral
به نظر من به جای لیس زدن ضریح الان باید بریم سنگ قبر زکریای رازی رو لیس بزنیم.,2020,Neutral
ویروس کرونا؛ احتمال ناقل بودن بهبودیافتگان حداقل تا ۱۰ روز,2020,Neutral
کرونا تا چه زمانی ادامه دارد؟,2020,Neutral
نحوه تکثیر ویروس کرونا,2020,Neutral
‏امروز واسه دهمین بار دستمو با مایع الکلی شستم دیدم یکی از ویروسای کرونا گفت پیک پیک آخره، جمع جمع آخر نباشه,2020,Neutral
‏علاقه ما ایرانیا رو به شکم و بخور بخور اونجا میشه فهمید که ٩٩ درصد ماها الان که با پزشک روبه رو میشیم میپرسیم دکتر جان چی بخووووریم که به کرونا مبتلا نشیم هیچکی نمیپرسه چی نخوریم که مبتلا نشیم :)),2020,Neutral
"‏یه مریضی هم هست میگه پوست تخمه هارو بریز رو زمین و بعد جاروبرقی بکش از صداش لذت ببر:))
من این مریضی رو دارم😁",2020,Positive
⭕️ افزایش بیماران کرونایی در هرمزگان,2020,Neutral
وقتی یکی تو جمع سرفه میکنه😂,2020,Positive
کرونا موزه «لوور» را تعطیل کرد,2020,Neutral
‏احتمالا امشب جمعی از ریش سفیدان قبیله قریش با گل و شیرینی برن خونه رازی اینا جهت دلجویی و تشکر😂,2020,Positive
"هر فرد مشکوک به کرونا در مبادی ورودی ایلام ۱۴ روز قرنطینه می شود
برای حفظ سلامت شهروندان هر مسافر در مبادی ورودی استان که مشکوک به بیماری کرونا باشد تا مشخص شدن نتیجه آزمایش‌ها به مدت ۱۴ روز قرنطینه می‌شود.",2020,Neutral
📣 بازداشت فردى كه اقدام غیر متعارفی در حرم على ابن موسى الرضا (ع) انجام داده بود,2020,Neutral
الان ماسک با این کمیاب بودنش یه کالای لاکچریه باید در کنار ساعت تو دست، ماسک هم تو عکسا جا بدیم,2020,Neutral
از اين به بعد اين چينيا هر گهى خواستن بخورن قبلش بايد تو شوراى امنيت مطرح كنن اگه همه راضى بودن ميتونن كوفت كنن. ريدن تو روند زندگى ٨ ميليارد ادم سر يه لقمه نون و خفاش.,2020,Neutral
پیست‌های اسکی استان تهران تعطیل شد,2020,Neutral
به اينها گفتند تست كرونای خانم هاشون مثبت شده,2020,Neutral
"دولت آمریکا در پی شیوع ویروس کرونا در واشنگتن وضع اضطراری اعلام‌ کرد
سی ان ان: ۷۱ نفر در آمریکا به ویروس کرونا مبتلا شده‌اند.
واشنگتن پست: احتمال شیوع انفجاری کرونا در آمریکا وجود دارد؛ دولت ترامپ پنهان کاری می‌کند.",2020,Neutral
بابام از وقتی فهمیده منتظریم تابستون بیاد کرونا بره خیلی ذوق زده شده. میگه حالا که انقد گرما رو دوس دارین کولرو بفروشیم,2020,Neutral
آرایشگاه‌های تبریز تعطیل شد,2020,Neutral
بهترین روش سلام و احوالپرسی بعد از شیوع کرونا بدون تماس گرفتن با فرد مقابل😂😂,2020,Positive
خبر خوش وزیر بهداشت درباره بیماری کرونا,2020,Neutral
‏وسط خیابون عطسه میکنی؟ یهو بیا حمله کن گازمون بگیر دیگه,2020,Neutral
ایجاد محدودیت طواف متوفیان در حرم مطهر رضوی,2020,Neutral
‏قابل توجه اونایی که میگن معلما همش دو سه ماه میرن سر کار و حقوق مفت میگیرن.,2020,Neutral
دکتر نمکی: نخستین بار در جهان با ۳۰۰ هزار اکیپ مجهز در سراسر کشور از پس فردا به تک تک خانه ها مراجعه و بیماری کرونا را ریشه کن می کنیم.,2020,Neutral
دهمین روز قرنطینه,2020,Neutral
خوب شد سال ۹۸ داره تموم میشه اگه یکی دو ماه دیگه طول میکشید هیچ کدوممون زنده نمیموندیم.,2020,Neutral
لحظه جاودانه شدن سیامند رحمان در تاریخ وزنه برداری.,2020,Neutral
"امسال تموم بشه تو بیوم ‌اضافه می‌کنم 
""از نجات یافتگان سال ۹۸ """,2020,Neutral
الان مهدی طارمی رحمان رضایی رو تو اینستا تگ میکنه خبرش رو به ملت ایران تسلیت میگه.,2020,Neutral
سیامند رحمان ۲ قهرمانی در مسابقات پارالمپیک، ۵ قهرمانی جهان و ۳ قهرمانی بازی‌های پاراآسیایی را در کارنامه ورزشی خود داشت. همچنین با رکورد ۳۱۰ کیلوگرم رکورد دار پاراوزنه برداری جهان بود.,2020,Neutral
هم اکنون مقابل بیمارستان اشنویه محل درگذشت سیامند رحمان,2020,Neutral
"‏سیامند رحمان فوت کرد
دردناک اینه که تشییع جنازش باید میلیونی باشه افتاده تو این بیماری کرونا متاسفانه نمیشه تشییع جنازه باشکوهی براش برگزار کرد",2020,Neutral
"‏95 کاش 96 شروع بشه
96 قول بده سال خوبی باشی
96 کاش 97 شروع بشه
97 قول بده سال خوبی باشی
97 چرا انقد بد و بیخوده کاش 98 شروع بشه
و 98 از همیشه افتضاح‌تر و سال سال دریغ از پارسال",2020,Neutral
اولین موارد ابتلا به کرونا در جمهوری چک,2020,Neutral
"هرگونه تردد و رفت آمد زائران در مرز مهران ممنوع شد
هرگونه تردد و رفت آمد زائران در مرز مهران ممنوع و کنترل مبادی ورودی استان بدون هیچ ملاحظه‌ای انجام و با مسافرینی که دارای علائم بیماری کرونا باشد براساس پروتکل ترسیم‌شده در این زمینه عمل خواهد شد.
در جهت حفظ سلامت شهروندان هر مسافر در مبادی ورودی استان که مشکوک به بیماری کرونا باشد تا مشخص شدن نتیجه آزمایش‌ها به مدت 14 روز قرنطینه می‌شود",2020,Neutral
🔻تست کرونا بدهید,2020,Neutral
"‏اگه این کرونا ما رو نکشه ، این خونه تکونی حتما میکشه
از ترس کرونا میترسیم بریم بیرون
از ترس خونه تکونی میترسیم بمونیم خونه",2020,Neutral
کرونا نماز جمعه رو لغو کرد تقریبا همه چیو فلج کرده هیچ‌کس دیگه کاری نمیکنه ولی هنوز حریف این خونه تکونی نشده چیه این خونه تکونی. چه قدر من از توعه لجن بدم میاد خونه تکونی خاک بر سرت,2020,Neutral
من و داداشم، هفته دوم قرنطینه,2020,Neutral
مراسم تدفین سیامند رحمان دوشنبه در زادگاهش انجام می شود,2020,Neutral
از ترس کرونا یجوری کل خونه رو با الکل شستشو دادیم که ظهر مامور برق اومده بود شماره کنتور رو برداره، موقع رفتن زنگ زده بود به اکسش معذرت خواهی می‌کرد,2020,Neutral
دانشگاه علوم پزشکی گیلان:,2020,Neutral
تلاش های سیستم ایمنی بدنم برای مقابله با کرونا,2020,Neutral
۵ بیمار مبتلابه کرونا در سمنان بهبود یافتند,2020,Neutral
"موارد ایمنی رو خیلی خیلی جدی رعایت کنید؛ خب؟!
ولی میخاستم بگم مسن‌ترین بیمار کرونایی جهان هم امروز با مراقبت بهبود یافت و مرخص شد!",2020,Neutral
"‏طرف تا دیروز میگفت خدایا کوچمون خیلی وقته پارچه سیاه و حجله نخورده،خواستم بگم من داوطلبم
الان دو روزه از ترس کرونا از خونه بیرون نمیاد
هر کسی ام در میزنه آیفون رو بر میداره صدای خفاش در میاره",2020,Neutral
‏این سوالای تست کرونا یه چیزی تو مایه‌های «چیزی نیست، آمپول بنویسم یا شربت؟» بود.,2020,Neutral
هم اکنون بارش برف در تبریز,2020,Neutral
‏نذر کردم اگه کرونا نتونه از پا درم بیاره بعد از این  داستانا هرشب ده تا باکتری رو غذا بدم.,2020,Neutral
"‏همین که کسی منو به چالش خنده دعوت نمیکنه یعنی راه رو درست رفتم، چیه این لوس بازیا!
",2020,Neutral
‏چند بار پشت سر هم دستامو شستم دیدم یه ویروس کرونا اومد گفت باشه بابا از بین رفتیم مگه عطر مشهدی ایم.,2020,Neutral
گله وزیر بهداشت از سفرهای مردم,2020,Neutral
‏كرونا همچون پتروس فداكار انگشتشش رو كرد تو روزنه اميد,2020,Neutral
دانشگاه علوم پزشکی قزوین: تعداد قربانیان کرونا در قزوین به ۲ نفر رسید,2020,Neutral
‏خداوکیلی اینایی که همیشه میگفتن کاش بمیریم و ما آرزویی نداریم و هیچی از دنیا نمیخواییم و فاز پوچی و این حرفا، این چند روز بیشتر ما رو سرویس کردن انقد گفتن نکنه بمیریم نکنه کرونا بگیریم!,2020,Neutral
‏جوری که بعضیا خبر مثبت بودن آزمایش ‎کرونا خودشون رو اعلام میکنند,2020,Neutral
"‏به بابام گفتم احساس میکنم کرونا گرفتم
گفت نیم ساعت نفستو نگه دار اگه سرفه ت نیومد یعنی کرونا نیست
خب این چه پیشنهادیه مرد
چرا تعارف داری با بالش خفم کن",2020,Neutral
کرونا به یک شرط تا سه هفته آینده کنترل می‌شود,2020,Neutral
"‏تویی که بعد اعلام کرونا همه چی رو گرون کردی
اگه فردای روزی مریض شدی و داروت گیر نیومد و مجبور شدی چندین برابر قیمت تهیه کنی شاکی نشو
بهرحال زمین گرده",2020,Neutral
رئیس اداره مراقبت مرکز مدیریت بیماری‌های واگیر وزارت بهداشت: ,2020,Neutral
‏وقتی میرم تو خیابون هم استرس کرونا رو دارم، هم استرس دیدن اونایی که گفتن بیا بیرون گفتم تو قرنطینه‌م.,2020,Neutral
این الکلاسیکو یه تماشاگر ویژه داره اونم کروناست امیدوارم اولین و آخرین الکلاسیکوی عمرش باشه ,2020,Neutral
تعدادی از کارکنان سفارت بریتانیا به‌خاطر شیوع ویروس کرونا از ایران خارج می‌شوند,2020,Neutral
اسکاتلند از نخستین مورد ابتلا به ویروس «کرونا» در خاک خود خبر داد.,2020,Neutral
‏خود کرونا هم الان استرس الکلاسیکو داره دیگه,2020,Neutral
"هشدار شهردار مشهد:
آژیر قرمز در مشهد به صدا درآمده 
 اگر مردم مسئله را جدی نگیرند قطعا دچار مشکل خواهیم شد.",2020,Neutral
‏مردم ‎رشت، ‎کرونا را جدی نگرفته اند/ در خانه بمانید,2020,Neutral
عباس با حماسه سرایی ها و چرت و پرتایی که حین گزارش بازی میگه داره نشون میده جانشین مطمئنی برای جواد و  ادامه دهنده راه اون بزرگواره.,2020,Neutral
‏از ترس کرونا نمی تونیم مثل آدم سرما بخوریم,2020,Neutral
‏جای فیروز کریمی خالیه وسط زمین غش کنه همه فکر کنن کرونا گرفته,2020,Neutral
"پیج اینستای توییتر فارسی برای اون دسته از دوستانی که هنوز پیج رو فالو ندارن.
",2020,Neutral
اونموقع که دانشگاه میرفتیم و از زدن آلارم ناله میکردیم واقعا ناشکری میکردیم، صدای آلارم سگش شرف داشت به صدای کوبیدن کابینت و صدای جاروبرقی خونه تکونی مامانا. مادر من بذار یکی دو ساعت دیرتر دست به کار شو خب.,2020,Neutral
مردم فعلا مسافرت نروند/ زمان برای خرید عید وجود دارد,2020,Neutral
پیشنهاد جدید هنگ‌کنگ به AFC درباره بازی با ایران,2020,Neutral
"""دکتر آیدین ساجدی"":",2020,Neutral
ممنوعیت پذیرش مسافر در هتل‌های قزوین,2020,Neutral
دیشب کنسرت داریوش در تورنتو بود و هموطنان با فرهنگمون همه‌ شرکت کرده بودند. ظاهرا بعضیهاشون کمتر از دو هفته بود از ایران آمده بودند!!! واقعا رعایت کردن اصول اولیه بهداشتی واسه یه سری از هموطنانمون افسانست,2020,Neutral
‏وقتی کرونا ویروس در چین شایع شد، اکثر مراسم و جشن‌های سال قمری در کانادا لغو شد.,2020,Neutral
ملت قویِ ایران، مشکل ماکس حل شد😂😂,2020,Positive
دلم واسه اون روزایی که از خواب بیدار میشدم و سرپا میشاشیدم و با همون دستا نون برمیداشتم و دست میکردم تو سطل پنیر و میمالیدم به نون میخوردم تنگ شده.,2020,Neutral
"خفاش رفته تو خونشون :))))
صدا گربه در میاره بره😂😂",2020,Positive
قزاقستان ورود ایرانی ها به این کشور را ممنوع کرد,2020,Neutral
"‏کرونا که راه عرق سگی رو به خونه های ایرانی باز کرد
از مسولین خواهشمندیم یه بیماری دیگه وارد کنن سیگار هم تو خونه طبیعی بشه
با تشکر",2020,Neutral
"🔴پلیس لندن، استوکس را بازداشت کرد
باشگاه پرسپولیس از وضعیت این بازیکن اظهار بی اطلاعی کرده و عنوان کرده است استوکس هنوز خودش را به تمرینات تیم نرسانده است. با این حال او اعلام کرده به دلیل شیوع کرونا فعلا به ایران نخواهد رفت.",2020,Neutral
روز دهم قرنطینه:,2020,Neutral
"فوت دومین بیمار مبتلا به کووید-۱۹ در آمریکا
این بیمار که حدودا ۷۰ ساله بوده و به بیماری زمینه‌ای مبتلا بوده است.",2020,Neutral
"‏ﺗﻮ خیابون میخواستم ﺭفیقمو ﺻﺪﺍ ﮐﻨﻢ
ﺩﺍﺩ ﺯﺩﻡ: الاااااغ …
شیش هفت ﻧﻔﺮ ﺑﺮﮔﺸﺘﻦ 😐
این آمار واسه کشورمون فاجعس!!😐😂",2020,Positive
🔴آلودگی هوا ادارات لرستان را تعطیل کرد,2020,Neutral
تعطیلی برخی از مراکز شماره گذاری به دلیل پیگیری از کرونا ,2020,Neutral
‏یادتون نره که تو اون بیست ثانیه که دستتون رو صابون‌مالی کف‌مالی می‌کنید، شیر آب رو ببندید تا بعد کرونا با کم آبی دهنمون سرویس نشه.,2020,Neutral
در پی شیوع بیماری کرونا، تعویق ۲ ماهه اعزام مشمولان سربازی,2020,Neutral
"فوت یک مبتلای دیگر به کرونا در یزد
یکی از این بیماران بالای ۷۱ و یکی هم ۶۲ ساله و دارای بیماری زمینه ای بودند.",2020,Neutral
🔴مراقب سو استفاده افراد فرصت طلب با عنوان مأمور بهداشت باشید,2020,Neutral
‏بروسلی یه چیزی میدونست همش داشت میزد اینا رو لت و پار میکرد,2020,Neutral
‏وقتی پیر شدیم داستان این روزارو که واسه نوه هامون تعریف کنیم پشت سرمون میگن «باز بابابزرگ رفت رو منبر با این داستانای تخیلیش»,2020,Neutral
"تاثیر ویتامین D در تقویت سیستم ایمنی بدن و مقابله با کرونا 
کمبود ویتامین D می‌تواند توان ایمنی بدن را کاهش دهد. ",2020,Neutral
"‏به هرموضوع که بیشتر فکر کنید
بیشتر ذهنتان درگیرش خواهد شد
و بدن به سمت اجرای آن حرکت خواهد کرد
از طرفی آنچه که باعث بالا رفتن ایمنی بدن میشود
آرامش و دور بودن از استرس است
بنابراین به افکار مثبت تمرکز کنید
ایمنی بدن را با آرام‌ سازی و دوری از فضاهایی که باعث استرس شما میشوند بالا ببرید",2020,Neutral
ابتلای کودک ۴ ساله به کرونا در لرستان!!,2020,Neutral
‏من فقط به يه پزشك اجازه ميدم بياد خونه معاينه م كنه. اونم پزشك دهكده ست.,2020,Neutral
"‏همیشه از اینایی که شل و وارفته دست 
میدن یا موقع دست دادن نوک انگشتاشون
رو میدن بهت احساس بدی پیدا میکنم 
وبرخلاف رفتار اونها دستشون رو محکم میگیرم وانرژی مثبت می فرستم براشون
به لطف کرونا امسال عید اون چهارتا
انگشتشون رو هم لمس نمی کنیم",2020,Neutral
🔴فوری🔴,2020,Neutral
🔴تعطیلی مدارس کشور تا پایان هفته,2020,Neutral
"سخنگوی دولت اعلام کرد: راهکارهای دولت برای کاهش ضرر و زیان برخی کسب و کارهای متاثر از شیوع ویروس کرونا در کشور
",2020,Neutral
‏جناب ‎کرونا سلام، از اینکه به ما یادآوری کردی سلامتی بهترین نعمت هست ممنونیم. حالا دیگه برو، خُب، درم ببند.,2020,Neutral
‏ببیند ‎کرونا چقدر ترسناکه که راننده نیسان آبی داره با الکل ماشینش رو پاک میکنه,2020,Neutral
"‏توی ترمینال زاهدان برای مقابله با کرونا به جای ضد عفونی کردن اسفند دود کردن 
پشمای کرونا با دار و دسته اش ریخته ..",2020,Neutral
وقتی زنگ میزنم آرایشگاه میگن تا آخر اسفند تعطیلیم,2020,Neutral
‏کرونا میاد و میره ، اما من باز هم نخواهم دانست که چه گهی باید بخورم در این زندگی,2020,Neutral
‏می‌دونی چی از کرونا بدتره؟ خوندن چت کسی که فینگیلیش تایپ می‌کنه.,2020,Neutral
"🔴تعداد مبتلایان به ویروس کرونا در ایران ۱۵۰۱ نفر، قربانیان ۶۶ نفر
از میان ۷۲۸۰ مراجعه تا کنون ۴۳۱۲ مورد، مشکوک بوده، از این تعداد، ۱۵۰۱ مورد مثبت کرونا ثبت شده است",2020,Neutral
لغو پروازهای لوفت‌هانزا به ایران تا آخر ماه آوریل,2020,Neutral
"‏علاوه بر بیماری ""فک کنم کرونا گرفتم""، مبتلا به ""نکنه زخم بستر بگیرم"" شدم.",2020,Neutral
‏من اینقدر بوی وایتکس و الکل خورده به دماغم نفسم تنگ شده و خود کرونا به من نزدیک میشه ماسک میزنه,2020,Neutral
"کرونا و قارچ خور 
",2020,Neutral
"قرنطینه رانندگان ایرانی در ترکیه 
مرز ما با ترکیه برای جابه‌جایی کالا باز است، اما ترکیه یک قرنطینه صحرایی در آن سوی مرز بازرگان راه انداخته است که می‌تواند حدود ۱۰۰ نفر را پذیرش کند.
تاکنون هم تمام راننده‌هایی که از ایران به ترکیه رفته‌اند، در این بیمارستان صحرایی قرنطینه شده‌اند.",2020,Neutral
‏صب پاشدم برم لوازم پیشگیری واسه کرونا بخرم سه تا دارو خونه رفتم تنها چیزی که برا پیشگیری تو داروخونه ها موجوده فقط کاندومه...,2020,Neutral
بازداشت دومین فرد مرتکب اقدام غیر متعارف در حرم حضرت معصومه (س),2020,Neutral
نوزاد ۴۵ روزه، جوان‌ترین بیمار مبتلا به کروناویروس در کره جنوبی,2020,Neutral
ازبکستان هم پرواز به ایران را لغو کرد ,2020,Neutral
‏احتمالا نسل آینده‌ی بازماندگان کرونا دیگه اثر انگشت نداشته باشن,2020,Neutral
روش قطعی درمان زنان مبتلا به کرونا ,2020,Neutral
"‏دقایقی پیش مادر اعلام کرد : هرکس تو خونه تکونی کمک نکنه از کوچیک و بزرگتون زنگ میزنم 190 بیان شمارو قرنطینه کنن تا بعد تعطیلات عید ریختو قیافتونو نبینم :
سلطان غم مادر",2020,Neutral
‏وقتی خارجیا هشدار کرونا میدن دستتو بشور دوس دارم بگم تو گه نخور تو برو باسنتو بشور,2020,Neutral
"معیار سنج اوضاع مملکت عملکرد vpn گوشیه
اگه راحت وصل شد یعنی اوضاع عادیه، اگه وصل نشد یعنی اوضاع بده
اگه اینترنت نداشته باشیم که بخوایم به vpn وصل بشیم یعنی اوضاع خیلی خرابه",2020,Neutral
"نماز جماعت در اداره‌ها تعطیل شد
به منظور پیشگیری از ابتلا به ویروس کرونا، اقامه نماز جماعت در کلیه اداره‌ها و دستگاه‌های اجرایی تعطیل شد.",2020,Neutral
جدیدترین توصیه و راهکار سازمان بهداشت جهانی who مبنی بر واکنش مناسب هنگام مواجهه با سرفه و عطسه ی افراد در فضای بسته.,2020,Neutral
"‏باز خوبه اسم بيماريا رو خارجيا انتخاب ميكنن. 
وگرنه الان ميگفتن بيماري شمر بن ذي الجوشن فلان قدر كشته داد.",2020,Neutral
دست‌ندادن وزیر کشور آلمان با صدراعظم به دلیل کرونا,2020,Neutral
🔴انزلی در وضعیت قرمز کرونا / شهروندان از خانه‌ها خارج نشوند,2020,Neutral
"‏دوستاى عزيزم اينو اطلاع رسانى كنيد لطفا:
٢)سقف كارت به كارت از سه تومن به پنج ميليون افزايش يافته.
٣)سقف برداشت نقدى از خودپرداز پانصدهزارتومن شده
٤)خطاى رمز دوم تا پنج بار مورد قبوله",2020,Neutral
۲ بیمار کرونایی خرم آباد بهبود یافتند,2020,Neutral
"تعداد بستری‌های کرونایی در قم به 790 نفر رسید
کماکان روند بستری بیماران در بیمارستان های قم صعودی است و از مردم درخواست می کنیم توصیه های بهداشتی را رعایت کنند.",2020,Neutral
🔴هشدار,2020,Neutral
